#1
double DNI(6247, 2)
0	0
0.5	0
1	0
1.5	0
2	0
2.5	0
3	0
3.5	0
4	638
4.5	833
5	918
5.5	925
6	935
6.5	923
7	898
7.5	813
8	616
8.5	0
9	0
9.5	0
10	0
10.5	0
11	0
11.5	0
12	0
12.5	0
13	0
13.5	0
14	0
14.5	0
15	0
15.5	0
16	603
16.5	809
17	900
17.5	919
18	933
18.5	920
19	880
19.5	790
20	592
20.5	0
21	0
21.5	0
22	0
22.5	0
23	0
23.5	0
24	0
24.5	0
25	0
25.5	0
26	0
26.5	0
27	0
27.5	0
28	585
28.5	785
29	871
29.5	908
30	490
30.5	0
31	80
31.5	802
32	620
32.5	0
33	0
33.5	0
34	0
34.5	0
35	0
35.5	0
36	0
36.5	0
37	0
37.5	0
38	0
38.5	0
39	0
39.5	0
40	644
40.5	842
41	929
41.5	935
42	957
42.5	950
43	903
43.5	822
44	636
44.5	0
45	0
45.5	0
46	0
46.5	0
47	0
47.5	0
48	0
48.5	0
49	0
49.5	0
50	0
50.5	0
51	0
51.5	0
52	601
52.5	806
53	895
53.5	935
54	949
54.5	940
55	899
55.5	818
56	633
56.5	0
57	0
57.5	0
58	0
58.5	0
59	0
59.5	0
60	0
60.5	0
61	0
61.5	0
62	0
62.5	0
63	0
63.5	0
64	555
64.5	767
65	862
65.5	909
66	923
66.5	913
67	882
67.5	797
68	610
68.5	0
69	0
69.5	0
70	0
70.5	0
71	0
71.5	0
72	0
72.5	0
73	0
73.5	0
74	0
74.5	0
75	0
75.5	0
76	530
76.5	744
77	840
77.5	918
78	930
78.5	916
79	865
79.5	767
80	557
80.5	0
81	0
81.5	0
82	0
82.5	0
83	0
83.5	0
84	0
84.5	0
85	0
85.5	0
86	0
86.5	0
87	0
87.5	0
88	483
88.5	718
89	842
89.5	903
90	936
90.5	931
91	880
91.5	797
92	614
92.5	0
93	0
93.5	0
94	0
94.5	0
95	0
95.5	0
96	0
96.5	0
97	0
97.5	0
98	0
98.5	0
99	0
99.5	0
100	59
100.5	763
101	859
101.5	887
102	909
102.5	361
103	856
103.5	773
104	441
104.5	0
105	0
105.5	0
106	0
106.5	0
107	0
107.5	0
108	0
108.5	0
109	0
109.5	0
110	0
110.5	0
111	0
111.5	0
112	560
112.5	770
113	867
113.5	896
114	912
114.5	442
115	869
115.5	295
116	602
116.5	0
117	0
117.5	0
118	0
118.5	0
119	0
119.5	0
120	0
120.5	0
121	0
121.5	0
122	0
122.5	0
123	0
123.5	0
124	82
124.5	377
125	160
125.5	251
126	507
126.5	315
127	397
127.5	488
128	119
128.5	0
129	0
129.5	0
130	0
130.5	0
131	0
131.5	0
132	0
132.5	0
133	0
133.5	0
134	0
134.5	0
135	0
135.5	0
136	0
136.5	0
137	254
137.5	454
138	15
138.5	81
139	52
139.5	215
140	597
140.5	93
141	0
141.5	0
142	0
142.5	0
143	0
143.5	0
144	0
144.5	0
145	0
145.5	0
146	0
146.5	0
147	0
147.5	0
148	709
148.5	893
149	971
149.5	973
150	982
150.5	969
151	933
151.5	857
152	692
152.5	193
153	0
153.5	0
154	0
154.5	0
155	0
155.5	0
156	0
156.5	0
157	0
157.5	0
158	0
158.5	0
159	0
159.5	0
160	66
160.5	222
161	921
161.5	476
162	622
162.5	767
163	358
163.5	0
164	0
164.5	0
165	0
165.5	0
166	0
166.5	0
167	0
167.5	0
168	0
168.5	0
169	0
169.5	0
170	0
170.5	0
171	0
171.5	0
172	0
172.5	0
173	0
173.5	16
174	0
174.5	41
175	8
175.5	1
176	0
176.5	0
177	0
177.5	0
178	0
178.5	0
179	0
179.5	0
180	0
180.5	0
181	0
181.5	0
182	0
182.5	0
183	0
183.5	0
184	5
184.5	726
185	830
185.5	322
186	440
186.5	366
187	257
187.5	703
188	517
188.5	81
189	0
189.5	0
190	0
190.5	0
191	0
